C116534,Crystals,SMD Crystal Resonators,X503225MSD4SC,SMD5032-4P,4,Yangxing Tech,Extended,25MHz ㊣20ppm 20pF 30次 ~ 40次 SMD-5032_4P SMD Crystal Resonators RoHS,https://datasheet.lcsc.com/lcsc/1810171116_Yangxing-Tech-X503225MSD4SC_C116534.pdf,1-9:0.238740157,30-99:0.164141732,100-499:0.152598425,1000-1999:0.144881890,10-29:0.175748031,4000-:0.141732283,500-999:0.147401575,2000-3999:0.142992126,0,
C128364,Crystals,SMD Crystal Resonators,7A08000006,SMD-5032_2P,2,TXC Corp,Extended,8MHz ㊣20ppm 12pF 80次 SMD-5032_2P SMD Crystal Resonators RoHS,https://datasheet.lcsc.com/lcsc/1810010411_TXC-Corp-7A08000006_C128364.pdf,1-9:0.297637795,30-99:0.198425197,1000-1999:0.155275591,10-29:0.240157480,100-499:0.164000000,500-999:0.158141732,2000-3999:0.153070866,4000-:0.151653543,0,
C132147,Crystals,SMD Oscillators(XO),7Z26001013,SMD-2016_4P,4,TXC Corp,Extended,26MHz ㊣0.5ppm 2.8V 1.5mA SMD-4 SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/lcsc/1806101633_TXC-Corp-7Z26001013_C132147.pdf,1-9:0.751181102,10-29:0.609448819,30-99:0.507086614,100-499:0.422047244,500-999:0.407874016,1000-1999:0.401574803,2000-3999:0.395275591,4000-:0.392125984,0,
C132295,Crystals,SMD Oscillators(XO),1XTW26000CGA,SMD-3225_4P,4,KDS Daishinku,Extended,26MHz ㊣1.5ppm 1.7V ~ 3.6V SMD-3225_4P SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/lcsc/1810171120_KDS-Daishinku-1XTW26000CGA_C132295.pdf,1-9:0.607874016,10-29:0.499212598,30-99:0.422047244,100-499:0.357480315,500-999:0.346456693,1000-1999:0.340157480,2000-3999:0.337007874,4000-:0.333858268,1735,
C135213,Crystals,SMD Oscillators(XO),1XTW16368CAB,SMD-3225_4P,4,KDS Daishinku,Extended,16.368MHz ㊣0.5ppm 3225 SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/szlcsc/1810171120_KDS-Daishinku-1XTW16368CAB_C135213.pdf,10-29:0.507086614,100-499:0.348031496,4000-:0.321259843,500-999:0.335433071,1-9:0.628346457,30-99:0.420472441,1000-1999:0.329133858,2000-3999:0.324409449,0,
C13843,Crystals,SMD Oscillators(XO),O50328MEDA4SC,SMD-5032_4P,4,Yangxing Tech,Extended,8MHz ㊣20ppm 3.3V 20mA SMD,5.0x3.2mm,4P SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/lcsc/1810170913_Yangxing-Tech-O50328MEDA4SC_C13843.pdf,1000-:0.338582677,500-999:0.344881890,100-499:0.355905512,30-99:0.423622047,10-29:0.505511811,1-9:0.618897638,3,
C15576,Crystals,SMD Oscillators(XO),O705016MFDA4SC,SMD-7050_4P,4,Yangxing Tech,Extended,16MHz ㊣20ppm 5V 20mA SMD-7050_4P SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/lcsc/1810171130_Yangxing-Tech-O705016MFDA4SC_C15576.pdf,1-9:0.768503937,10-29:0.636220472,30-99:0.540157480,100-499:0.461417323,500-999:0.447244094,1000-:0.440944882,7,
C15918,Crystals,SMD Oscillators(XO),O705012MEDA4SC,SMD-7050_4P,4,Yangxing Tech,Extended,12MHz ㊣20ppm 3.3V 20mA SMD-7050_4P SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/lcsc/1810161841_Yangxing-Tech-O705012MEDA4SC_C15918.pdf,1-9:0.615748031,30-99:0.414173228,500-999:0.332283465,1000-:0.327559055,10-29:0.499212598,100-499:0.344881890,437,
C189764,Crystals,SMD Crystal Resonators,AV08000301,SMD-3225_2P,2,TXC Corp,Extended,SMD Crystal Resonators 8MHz ㊣30ppm SMD-3225_2P RoHS,https://datasheet.lcsc.com/szlcsc/TXC-Corp-AV0801LCSC-AHE4G_C189764.pdf,4000-:0.212598425,10-29:0.319685039,100-499:0.228346457,1000-1999:0.217322835,500-999:0.220472441,1-9:0.388976378,30-99:0.269291339,2000-3999:0.214173228,0,
C20036,Crystals,SMD Oscillators(XO),O705030MEEA4SC,SMD-7050_4P,4,Yangxing Tech,Extended,30MHz ㊣25ppm 3.3V 20mA SMD-7050_4P SMD Oscillators(XO) RoHS,https://datasheet.lcsc.com/lcsc/1810171115_Yangxing-Tech-O705030MEEA4SC_C20036.pdf,2000-3999:0.439370079,4000-:0.436220472,1-9:0.691338583,10-29:0.525984252,30-99:0.496062992,100-499:0.464566929,500-999:0.451968504,1000-1999:0.444094488,41,
