C115820,IoT/Communication Modules,CAN Bus Modules,TD501MCANFD,COMM-TH_TD501MCAN,7,MORNSUN Guangzhou S& T,Extended,DIP-8 CAN Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1811151657_MORNSUN-Guangzhou-S--T-TD501MCANFD_C115820.pdf,1-9:7.193700787,10-29:7.075590551,30-99:7.075590551,100-499:7.075590551,500-999:7.075590551,1000-:7.075590551,18,
C115915,IoT/Communication Modules,CAN Bus Modules,TD301MCANFD,COMM-TH_TD301MCANFD,7,MORNSUN Guangzhou S& T,Extended,DIP-8 CAN Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1811151654_MORNSUN-Guangzhou-S--T-TD301MCANFD_C115915.pdf,1-9:6.530708661,10-29:6.414173228,30-99:6.414173228,100-499:6.414173228,500-999:6.414173228,1000-:6.414173228,10,
C116844,IoT/Communication Modules,RF Modules,AS11-D433,Module,12,Chengdu Ashining Tech,Extended,Module RF Modules ROHS,https://datasheet.lcsc.com/lcsc/1804132324_Chengdu-Ashining-Tech-AS11-D433_C116844.pdf,10-29:3.615748031,100-499:3.615748031,1000-:3.615748031,500-999:3.615748031,1-9:3.672440945,30-99:3.615748031,0,
C118124,IoT/Communication Modules,RS232 Bus Modules,RSM232,Module,7,ZLG Zhiyuan Elec,Extended,Module RS232 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1809192237_ZLG-Zhiyuan-Elec-RSM232_C118124.pdf,1-9:10.503937008,10-29:8.803149606,30-99:7.570078740,100-499:6.552755906,500-999:6.379527559,1000-:6.292913386,51,
C125203,IoT/Communication Modules,2G/3G/4G/5G Modules,EC20CEHCLG MINIPCIE-C,QFN-108_29.0x32.0x1.3P,108,Quectel,Extended,MINIPCIE 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1811091610_Quectel-EC20CEHCLG-MINIPCIE-C_C125203.pdf,1-9:26.943307087,30-99:26.329133858,10-29:26.329133858,100-499:26.329133858,1000-:26.329133858,500-999:26.329133858,15,
C126251,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM5320A,GSM-SMD,80,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162143_SIMCom-Wireless-Solutions-SIM5320A_C126251.pdf,30-99:24.537007874,100-499:24.537007874,500-999:24.537007874,1000-:24.537007874,1-9:25.244094488,10-29:24.537007874,10,
C126252,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM5320E,GSM-SMD,80,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1808272256_SIMCom-Wireless-Solutions-SIM5320E_C126252.pdf,1-9:25.478740157,10-29:24.784251969,30-99:24.784251969,100-499:24.784251969,500-999:24.784251969,1000-:24.784251969,0,
C126253,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM5320J,GSM-SMD,80,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162143_SIMCom-Wireless-Solutions-SIM5320J_C126253.pdf,1-9:28.425196850,10-29:27.650393701,30-99:27.650393701,100-499:27.650393701,500-999:27.650393701,1000-:27.650393701,0,
C126254,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM5360A,GSM-SMD,82,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162143_SIMCom-Wireless-Solutions-SIM5360A_C126254.pdf,1-9:23.941732283,10-29:23.270866142,30-99:23.270866142,100-499:23.270866142,500-999:23.270866142,1000-:23.270866142,5,
C126255,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM5360E,GSM-SMD,82,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162215_SIMCom-Wireless-Solutions-SIM5360E_C126255.pdf,500-999:27.505511811,1000-:27.505511811,1-9:28.176377953,10-29:27.505511811,30-99:27.505511811,100-499:27.505511811,2,
C126256,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM5360J,GSM-SMD,82,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162143_SIMCom-Wireless-Solutions-SIM5360J_C126256.pdf,500-999:28.176377953,1000-:28.176377953,1-9:28.847244094,10-29:28.176377953,30-99:28.176377953,100-499:28.176377953,0,
C126257,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM6320C,GSM-SMD,80,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162143_SIMCom-Wireless-Solutions-SIM6320C_C126257.pdf,1000-:24.278740157,1-9:24.959055118,10-29:24.278740157,30-99:24.278740157,100-499:24.278740157,500-999:24.278740157,0,
C126258,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7500A,GSM-SMD,56,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1808272256_SIMCom-Wireless-Solutions-SIM7500A_C126258.pdf,1-9:30.507086614,10-29:29.675590551,30-99:29.675590551,100-499:29.675590551,500-999:29.675590551,1000-:29.675590551,0,
C126259,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7500E,GSM-SMD,56,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162215_SIMCom-Wireless-Solutions-SIM7500E_C126259.pdf,1-9:34.922834646,10-29:34.091338583,30-99:34.091338583,100-499:34.091338583,500-999:34.091338583,1000-:34.091338583,0,
C126260,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7100A,GSM-SMD,87,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162156_SIMCom-Wireless-Solutions-SIM7100A_C126260.pdf,1000-:44.511811024,1-9:45.759055118,10-29:44.511811024,30-99:44.511811024,100-499:44.511811024,500-999:44.511811024,0,
C126261,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7100E,GSM-SMD,87,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162215_SIMCom-Wireless-Solutions-SIM7100E_C126261.pdf,1-9:51.803149606,10-29:50.598425197,30-99:50.598425197,100-499:50.598425197,500-999:50.598425197,1000-:50.598425197,0,
C126262,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7100C,GSM-SMD,87,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162156_SIMCom-Wireless-Solutions-SIM7100C_C126262.pdf,1-9:45.240944882,10-29:44.163779528,30-99:44.163779528,100-499:44.163779528,500-999:44.163779528,1000-:44.163779528,0,
C126268,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7600CE-A,SMD Module,87,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1809211617_SIMCom-Wireless-Solutions-SIM7600CE-A_C126268.pdf,1000-:33.494488189,30-99:33.494488189,1-9:34.439370079,500-999:33.494488189,100-499:33.494488189,10-29:33.494488189,0,
C126271,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7000A,GSM-SMD,68,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/2007281003_SIMCom-Wireless-Solutions-SIM7000A_C126271.pdf,1-9:17.289763780,10-29:16.836220472,30-99:16.836220472,100-499:16.836220472,500-999:16.836220472,1000-:16.836220472,2,
C126272,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7000E,SMD Module,68,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162216_SIMCom-Wireless-Solutions-SIM7000E_C126272.pdf,500-999:27.118110236,1-9:27.779527559,30-99:27.118110236,1000-:27.118110236,10-29:27.118110236,100-499:27.118110236,0,
C126273,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7000JC,GSM-SMD,68,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162156_SIMCom-Wireless-Solutions-SIM7000JC_C126273.pdf,1000-:23.604724409,1-9:24.266141732,10-29:23.604724409,30-99:23.604724409,100-499:23.604724409,500-999:23.604724409,0,
C126274,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM800F,GSM-SMD,68,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162156_SIMCom-Wireless-Solutions-SIM800F_C126274.pdf,1-9:7.617322835,10-29:7.458267717,30-99:7.458267717,100-499:7.458267717,500-999:7.458267717,1000-:7.458267717,114,
C126275,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM808,GSM-SMD,68,SIMCom Wireless Solutions,Extended,SMD Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1811110911_SIMCom-Wireless-Solutions-SIM808_C126275.pdf,1-9:11.825196850,10-29:11.570078740,30-99:11.570078740,100-499:11.570078740,500-999:11.570078740,1000-:11.570078740,8,
C128659,IoT/Communication Modules,Satellite Positioning Modules,ATGM332D-5N31,QFN-24_12.2x16.0x1.1P,24,ZHONGKEWEI,Extended,GNSSSeries GPS+BDS 12.2x16x2.4mm Satellite Positioning Modules ROHS,https://datasheet.lcsc.com/lcsc/1810261313_ZHONGKEWEI-ATGM332D-5N31_C128659.pdf,1-9:5.988976378,10-29:4.981102362,30-99:4.250393701,100-499:3.647244094,500-999:3.544881890,1000-:3.494488189,768,
C128660,IoT/Communication Modules,Satellite Positioning Modules,ATGM332D-5N11,GSM-SMD,24,ZHONGKEWEI,Extended,GNSSSeries GPS 12.2x16x2.4mm Satellite Positioning Modules ROHS,https://datasheet.lcsc.com/lcsc/1810261313_ZHONGKEWEI-ATGM332D-5N11_C128660.pdf,1-9:6.653543307,10-29:5.519685039,30-99:4.697637795,100-499:4.018897638,500-999:3.903937008,1000-:3.847244094,7,
C129093,IoT/Communication Modules,RF Modules,NF-04-MI-2.4G,WIRELM-SMD,8,Ai-Thinker,Extended,Module RF Modules ROHS,https://datasheet.lcsc.com/lcsc/1811151639_Ai-Thinker-NF-04-MI-2-4G_C129093.pdf,1-9:0.902362205,10-29:0.722834646,30-99:0.593700787,100-499:0.488188976,500-999:0.469291339,1000-:0.459842520,89,
C130090,IoT/Communication Modules,RF Modules,H34C-315MHZ,Module,4,LCX(Shenzhen LCHSTAR Elec),Extended,Module RF Modules ROHS,https://datasheet.lcsc.com/lcsc/2107121912_LCX-Shenzhen-LCHSTAR-Elec-H34C-315MHZ_C130090.pdf,1-9:0.628346457,30-99:0.618897638,500-999:0.618897638,10-29:0.618897638,100-499:0.618897638,1000-:0.618897638,10,
C131030,IoT/Communication Modules,RF Modules,H34C-433MHZ,Module,4,LCX(Shenzhen LCHSTAR Elec),Extended,Module RF Modules ROHS,https://datasheet.lcsc.com/lcsc/2107121912_LCX-Shenzhen-LCHSTAR-Elec-H34C-433MHZ_C131030.pdf,10-29:0.897637795,100-499:0.647244094,1-9:1.086614173,30-99:0.760629921,1000-:0.617322835,500-999:0.628346457,7,
C131170,IoT/Communication Modules,RS485 Bus Modules,TD321D485,COMM-TH_TD321D485,9,MORNSUN Guangzhou S& T,Extended,DIP RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1810111220_MORNSUN-Guangzhou-S--T-TD321D485_C131170.pdf,1-9:5.582677165,10-29:4.620472441,30-99:3.924409449,100-499:3.348031496,500-999:3.250393701,1000-:3.201574803,21,
C131171,IoT/Communication Modules,RS485 Bus Modules,TD521D485,COMM-TH_TD521D485,9,MORNSUN Guangzhou S& T,Extended,DIP RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1809111620_MORNSUN-Guangzhou-S--T-TD521D485_C131171.pdf,1-9:6.026771654,10-29:5.081889764,30-99:4.396850394,100-499:3.833070866,500-999:3.735433071,1000-:3.688188976,0,
C131172,IoT/Communication Modules,CAN Bus Modules,TD321DCAN,COMM-TH_TD321DCAN,7,MORNSUN Guangzhou S& T,Extended,DIP CAN Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1811151534_MORNSUN-Guangzhou-S--T-TD321DCAN_C131172.pdf,1-9:7.648818898,10-29:5.845669291,30-99:5.514960630,100-490:5.184251969,491-495:5.184251969,496-:5.184251969,50,
C132317,IoT/Communication Modules,RS485 Bus Modules,TD321D485H-A,COMM-TH_TDX21D485H-A,8,MORNSUN Guangzhou S& T,Extended,DIP RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1806070434_MORNSUN-Guangzhou-S--T-TD321D485H-A_C132317.pdf,1-9:7.118110236,10-29:5.984251969,30-99:5.162204724,100-499:4.483464567,500-999:4.368503937,1000-:4.310236220,5,
C132370,IoT/Communication Modules,WiFi Modules,ESP32-WROVER-I,WIFIM-SMD,39,Espressif Systems,Extended,Module WiFi Modules ROHS,https://datasheet.lcsc.com/lcsc/1810010133_Espressif-Systems-ESP32-WROVER-I_C132370.pdf,100-499:3.321259843,500-999:3.204724409,1000-:3.148031496,1-9:5.970078740,10-29:4.829921260,30-99:4.003149606,161,
C133151,IoT/Communication Modules,2G/3G/4G/5G Modules,C133151,GSM-SMD,56,Ai-Thinker,Extended,Module 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1809211412_Ai-Thinker-C133151_C133151.pdf,1-9:5.415748031,10-29:4.518110236,30-99:3.866141732,100-499:3.329133858,500-999:3.237795276,1000-:3.192125984,4,
C133203,IoT/Communication Modules,2G/3G/4G/5G Modules,SIM7600CE-L,GSM-SMD,87,SIMCom Wireless Solutions,Extended,LCC 2G/3G/4G/5G Modules ROHS,https://datasheet.lcsc.com/lcsc/1811011614_SIMCom-Wireless-Solutions-SIM7600CE-L_C133203.pdf,1-9:30.565354331,10-29:29.930708661,30-99:29.930708661,100-499:29.930708661,500-999:29.930708661,1000-:29.930708661,5,
C133365,IoT/Communication Modules,RS485 Bus Modules,RSM485M,COMM-TH,8,ZLG Zhiyuan Elec,Extended,DIP-8 RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1811151640_ZLG-Zhiyuan-Elec-RSM485M_C133365.pdf,500-999:7.236220472,1-9:7.371653543,30-99:7.236220472,1000-:7.236220472,10-29:7.236220472,100-499:7.236220472,5,
C133488,IoT/Communication Modules,Satellite Positioning Modules,L80-M39,GSM-SMD,12,Quectel,Extended,GNSSSeries GPS LCC Satellite Positioning Modules ROHS,https://datasheet.lcsc.com/lcsc/1811101933_Quectel-L80-M39_C133488.pdf,100-499:8.303937008,500-999:8.303937008,1000-:8.303937008,1-9:8.464566929,10-29:8.303937008,30-99:8.303937008,0,
C133735,IoT/Communication Modules,RS485 Bus Modules,RSM485PHT,COMM-TH_RSM485PHT,8,ZLG Zhiyuan Elec,Extended,DIP-10 RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1808311720_ZLG-Zhiyuan-Elec-RSM485PHT_C133735.pdf,1-9:8.918110236,10-29:7.151181102,30-99:5.872440945,100-499:4.815748031,500-999:4.636220472,1000-:4.546456693,40,
C133738,IoT/Communication Modules,2G/3G/4G/5G Modules,A9G,Module,56,Ai-Thinker,Extended,Module 2G/3G/4G/5G Modules ROHS, ,1-9:6.757480315,10-29:6.633070866,30-99:6.633070866,100-499:6.633070866,500-999:6.633070866,1000-:6.633070866,17,
C133773,IoT/Communication Modules,RS485 Bus Modules,RSM3485PCHT,COMM-TH_RSM3485PCHT,9,ZLG Zhiyuan Elec,Extended,DIP-10 RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1811041906_ZLG-Zhiyuan-Elec-RSM3485PCHT_C133773.pdf,500-999:6.867716535,1-9:11.220472441,10-29:9.425196850,30-99:8.124409449,100-499:7.050393701,1000-:6.777952756,10,
C133774,IoT/Communication Modules,RS485 Bus Modules,RSM485PCHT,COMM-TH_RSM485PCHT,9,ZLG Zhiyuan Elec,Extended,DIP-10 RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1808282212_ZLG-Zhiyuan-Elec-RSM485PCHT_C133774.pdf,10-29:5.924409449,100-499:5.924409449,500-999:5.924409449,1-9:6.014173228,30-99:5.924409449,1000-:5.924409449,20,
C135483,IoT/Communication Modules,Bluetooth Modules,CYBLE-022001-00,WIRELM-TH,21,Cypress Semicon,Extended,Module Bluetooth Modules ROHS,https://datasheet.lcsc.com/lcsc/1804162217_Cypress-Semicon-CYBLE-022001-00_C135483.pdf,100-499:7.634645669,500-999:7.634645669,1000-:7.634645669,1-9:7.812598425,10-29:7.634645669,30-99:7.634645669,0,
C135576,IoT/Communication Modules,RF Modules,NF-01-S,Module,8,Ai-Thinker,Extended,Module RF Modules ROHS,https://datasheet.lcsc.com/lcsc/1809260014_Ai-Thinker-NF-01-S_C135576.pdf,1-9:1.329133858,10-29:1.074015748,30-99:0.888188976,100-499:0.735433071,500-999:0.710236220,1000-:0.696062992,64,
C135840,IoT/Communication Modules,RS485 Bus Modules,RSM485IDHT,DIP-12_16.9x19.9x2.54P,12,ZLG Zhiyuan Elec,Extended,SIP RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1808311720_ZLG-Zhiyuan-Elec-RSM485IDHT_C135840.pdf,10-29:10.209448819,100-499:10.209448819,1000-:10.209448819,500-999:10.209448819,1-9:10.426771654,30-99:10.209448819,7,
C135846,IoT/Communication Modules,RS485 Bus Modules,DMX483,DIP-9_16.9x19.9x2.54P,9,ZLG Zhiyuan Elec,Extended,SIP RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1808311741_ZLG-Zhiyuan-Elec-DMX483_C135846.pdf,500-999:5.234645669,1000-:5.234645669,100-499:5.234645669,30-99:5.234645669,10-29:5.234645669,1-9:5.319685039,0,
C135862,IoT/Communication Modules,CAN Bus Modules,CTM8251S,DIP-7_19.9x19.9x2.54P,7,ZLG Zhiyuan Elec,Extended,SIP CAN Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1808311714_ZLG-Zhiyuan-Elec-CTM8251S_C135862.pdf,1000-:5.428346457,30-99:5.428346457,1-9:5.516535433,500-999:5.428346457,100-499:5.428346457,10-29:5.428346457,0,
C135864,IoT/Communication Modules,CAN Bus Modules,CSM100-L,COMM-TH_CSM100-L,15,ZLG Zhiyuan Elec,Extended,SIP CAN Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1808311720_ZLG-Zhiyuan-Elec-CSM100-L_C135864.pdf,500-999:26.919685039,10-29:26.919685039,100-499:26.919685039,1-9:27.510236220,30-99:26.919685039,1000-:26.919685039,0,
C135867,IoT/Communication Modules,RS232 Bus Modules,RSM232D,COMM-TH_RSM232D,11,ZLG Zhiyuan Elec,Extended,DIP-12 RS232 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1808311720_ZLG-Zhiyuan-Elec-RSM232D_C135867.pdf,10-29:9.725984252,100-499:9.725984252,500-999:9.725984252,1-9:9.924409449,30-99:9.725984252,1000-:9.725984252,17,
C135868,IoT/Communication Modules,RS485 Bus Modules,RSM3485HT,SIP,7,ZLG Zhiyuan Elec,Extended,SIP RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/2112160930_ZLG-Zhiyuan-Elec-RSM3485HT_C135868.pdf,1000-:6.072440945,30-99:7.442519685,1-9:10.593700787,500-999:6.163779528,100-499:6.349606299,10-29:8.766929134,16,
C135870,IoT/Communication Modules,RS485 Bus Modules,RSM3485IDHT,DIP-12_16.9x19.9x2.54P,12,ZLG Zhiyuan Elec,Extended,SIP RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1809300911_ZLG-Zhiyuan-Elec-RSM3485IDHT_C135870.pdf,1-9:9.946456693,30-99:9.729133858,500-999:9.729133858,10-29:9.729133858,100-499:9.729133858,1000-:9.729133858,4,
C135871,IoT/Communication Modules,RS485 Bus Modules,RSM485PCT,DIP-9_16.9x19.9x2.54P,9,ZLG Zhiyuan Elec,Extended,SIP RS485 Bus Modules ROHS,https://datasheet.lcsc.com/lcsc/1808311720_ZLG-Zhiyuan-Elec-RSM485PCT_C135871.pdf,1-9:5.064566929,10-29:4.988976378,30-99:4.988976378,100-499:4.988976378,500-999:4.988976378,1000-:4.988976378,12,
C136623,IoT/Communication Modules,ZigBee Modules,AW5161P2CF,WIRELM-SMD,27,ZLG Zhiyuan Elec,Extended,Module ZigBee Modules ROHS,https://datasheet.lcsc.com/lcsc/1811151657_ZLG-Zhiyuan-Elec-AW5161P2CF_C136623.pdf,10-29:6.702362205,30-99:6.702362205,100-499:6.702362205,500-999:6.702362205,1000-:6.702362205,1-9:6.853543307,134,
