C10516,Memory,EEPROM,K24C256,SOIC-8_3.9x4.9x1.27P,8,LCSC,Extended,1.8V ~ 5.5V I2C 256Kb (32K x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809140814_LCSC-K24C256_C10516.pdf,1-9:0.190551181,10-29:0.143307087,30-99:0.133858268,100-499:0.125984252,500-1999:0.121259843,2000-4999:0.119685039,5000-9999:0.118110236,10000-:0.118110236,0,
C10518,Memory,EEPROM,K24C02,DIP-8_L9.7-W6.4-P2.54-LS7.6-BL,8,Hua Hong NEC,Extended,1.8V ~ 5.5V I2C 2Kb (256 x 8) DIP-8 EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811091410_Hua-Hong-NEC-K24C02_C10518.pdf,5-45:0.100314961,50-145:0.082677165,150-495:0.069921260,500-2495:0.059370079,2500-4995:0.057637795,5000-9995:0.056692913,10000-19995:0.056062992,20000-:0.055590551,0,
C10519,Memory,EEPROM,K24C08C-DITGA,DIP-8,8,Hua Hong NEC,Extended,1.8V ~ 5.5V I2C 8Kb (1K x 8) DIP-8 EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809140814_Hua-Hong-NEC-K24C08C-DITGA_C10519.pdf,5-45:0.108503937,50-145:0.089606299,150-495:0.075905512,500-2495:0.064566929,2500-4995:0.062677165,5000-9995:0.061732283,10000-19995:0.060944882,20000-:0.060472441,0,
C106262,Memory,NOR FLASH,MX25L8006EM1I-12G,2512,2,MXIC(Macronix),Extended,8Mb (1M x 8) SPI FLASH Non-Volatile SOP-8_150mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1810190911_MXIC-Macronix-MX25L8006EM1I-12G_C106262.pdf,1-9:0.549606299,10-29:0.445669291,30-99:0.370078740,100-499:0.307086614,500-999:0.297637795,1000-:0.291338583,2500,
C108951,Memory,SDRAM,IS42S32400F-6TLI,TSOP-86_10.2x22.2x0.5P,86,ISSI(Integrated Silicon Solution),Extended,Volatile 3V ~ 3.6V Parallel 128Mb (4M x 32) TSOP-86 SDRAM ROHS,https://datasheet.lcsc.com/lcsc/1810010731_ISSI-Integrated-Silicon-Solution-IS42S32400F-6TLI_C108951.pdf,10-29:3.507086614,100-499:2.554330709,1000-1999:2.444094488,4000-:2.400000000,1-9:4.228346457,30-99:2.985826772,2000-3999:2.417322835,500-999:2.480314961,2,
C110276,Memory,EEPROM,BL24C256A-SFRC,TSSOP-8_3.0x4.4x0.65P,8,BL(Shanghai Belling),Extended,1.7V ~ 5.5V I2C 256Kb (32K x 8) TSSOP-8(3x4.4x0.65£© EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811151428_BL-Shanghai-Belling-BL24C256A-SFRC_C110276.pdf,1-9:0.245669291,10-29:0.200472441,30-99:0.167685039,100-499:0.140629921,500-999:0.136062992,1000-1999:0.133700787,2000-3999:0.131968504,4000-:0.130866142,282,
C110895,Memory,NAND FLASH,MT29F2G08ABAEAWP:E,TSOP-48_12.0x18.4x0.5P,48,Micron Tech,Extended,Non-Volatile Parallel 2Gb (256M x 8) FLASH TSOP-48 NAND FLASH ROHS,https://datasheet.lcsc.com/lcsc/1811032117_Micron-Tech-MT29F2G08ABAEAWP-E_C110895.pdf,1-9:3.875590551,10-29:3.376377953,30-99:2.971653543,100-499:2.535433071,500-999:2.440944882,1000-:2.425196850,5635,
C110896,Memory,FLASH,MT29F2G08ABAEAWP-IT:E,TSOP-48_12.0x18.4x0.5P,48,Micron Tech,Extended,FLASH FLASH 2Gb (256M x 8) Parallel TSOP-48 RoHS,https://datasheet.lcsc.com/szlcsc/Micron-Tech-MT29F2G08ABAEAWP-IT-E_C110896.pdf,102-103:2.228346457,10-29:2.351181102,100-101:2.228346457,1000-:2.176377953,1-9:2.662992126,30-99:2.302362205,104-499:2.228346457,500-999:2.176377953,0,
C111004,Memory,EEPROM,BL24C64A-SFRC,TSSOP-8_3.0x4.4x0.65P,8,BL(Shanghai Belling),Extended,1.7V ~ 5.5V I2C 64Kb (8K x 8) TSSOP-8(3x4.4x0.65£© EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811151657_BL-Shanghai-Belling-BL24C64A-SFRC_C111004.pdf,5-45:0.141889764,50-145:0.119055118,150-495:0.102519685,500-2495:0.088976378,2500-4995:0.086614173,5000-9995:0.085511811,10000-19995:0.084566929,20000-:0.084094488,5081,
C111166,Memory,EEPROM,M95M01-RMN6TP,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Extended,1.8V ~ 5.5V SPI 1Mb (128K x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809051921_STMicroelectronics-M95M01-RMN6TP_C111166.pdf,1-9:1.064566929,10-29:0.891338583,30-99:0.766929134,100-499:0.662992126,500-999:0.645669291,1000-:0.636220472,11,
C111332,Memory,EEPROM,BL24C512A-PARC,SOP-8_3.9x4.9x1.27P,8,BL(Shanghai Belling),Extended,1.7V ~ 5.5V I2C 512Kb (64K x 8) SOP-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811151311_BL-Shanghai-Belling-BL24C512A-PARC_C111332.pdf,1-9:0.475590551,10-29:0.400000000,30-99:0.346456693,100-499:0.302362205,500-999:0.294488189,1000-1999:0.289763780,2000-3999:0.288188976,4000-:0.285039370,12944,
C111440,Memory,EEPROM,AT24C64D-XHM-T,TSSOP-8_3.0x4.4x0.65P,8,Microchip Tech,Extended,1.7V ~ 5.5V I2C 64Kb (8K x 8) TSSOP-8(3x4.4x0.65£© EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1811081934_Microchip-Tech-AT24C64D-XHM-T_C111440.pdf,1-9:3.092913386,10-29:2.596850394,30-99:2.236220472,100-499:1.938582677,500-999:1.888188976,1000-1999:1.862992126,2000-3999:1.844094488,4000-:1.831496063,4845,
C111441,Memory,EEPROM,AT93C56B-SSHM-T,SOIC-8_3.9x4.9x1.27P,8,Microchip Tech,Extended,1.7V ~ 5.5V SPI 2Kb (256 x 8, 128 x 16) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809081514_Microchip-Tech-AT93C56B-SSHM-T_C111441.pdf,1-9:0.450393701,10-29:0.374803150,30-99:0.319685039,100-499:0.274015748,500-999:0.266141732,1000-1999:0.262992126,2000-3999:0.259842520,4000-:0.258267717,97,
C111442,Memory,EEPROM,AT25080B-SSHL-T,SOIC-8_3.9x4.9x1.27P,8,Microchip Tech,Extended,1.8V ~ 5.5V SPI 8Kb (1K x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809081530_Microchip-Tech-AT25080B-SSHL-T_C111442.pdf,1-9:0.645669291,10-29:0.537007874,30-99:0.458267717,100-499:0.393700787,500-999:0.382677165,1000-1999:0.376377953,2000-3999:0.373228346,4000-:0.370078740,102,
C111443,Memory,EEPROM,AT25040B-SSHL-T,SOIC-8_3.9x4.9x1.27P,8,Microchip Tech,Extended,1.8V ~ 5.5V SPI 4Kb (512 x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809081514_Microchip-Tech-AT25040B-SSHL-T_C111443.pdf,1-9:0.718110236,10-29:0.579527559,30-99:0.480314961,100-499:0.396850394,500-999:0.382677165,1000-1999:0.376377953,2000-3999:0.371653543,4000-:0.368503937,1374,
C111478,Memory,NOR FLASH,W25Q128JVFIQ,SOIC-16_7.5x10.3x1.27P,16,Winbond Elec,Extended,128Mb (16M x 8) SPI - Dual/Quad I/O FLASH Non-Volatile SOIC-16_300mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1809192119_Winbond-Elec-W25Q128JVFIQ_C111478.pdf,100-499:0.979527559,500-999:0.949606299,1000-:0.935433071,1-9:1.645669291,10-29:1.359055118,30-99:1.151181102,4,
C11154,Memory,Non-Volatile Memory (ROM),DS28E10P+,TSOC-L4.0-W4.0-BL,6,Maxim Integrated,Extended,224b (28 x 8) 2.8V ~ 3.6V 1-Wire TSOC-6 Non-Volatile Memory (ROM) ROHS,https://datasheet.lcsc.com/lcsc/1804162032_Maxim-Integrated-DS28E10P-_C11154.pdf,1-9:1.795275591,10-29:1.481889764,30-99:1.256692913,500-999:1.037795276,1000-1999:1.022047244,100-499:1.069291339,2000-3999:1.009448819,4000-:1.003149606,0,
C111546,Memory,EEPROM,AT24C512C-XHM-T,TSSOP-8_3.0x4.4x0.65P,8,Microchip Tech,Extended,1.7V ~ 3.6V I2C 512Kb (64K x 8) TSSOP-8(3x4.4x0.65£© EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809050348_Microchip-Tech-AT24C512C-XHM-T_C111546.pdf,1-9:3.703937008,10-29:3.144881890,30-99:2.740157480,100-499:2.404724409,1000-1999:2.319685039,4000-:2.285039370,500-999:2.348031496,2000-3999:2.299212598,4963,
C111547,Memory,EEPROM,AT25640B-SSHL-T,SOIC-8_3.9x4.9x1.27P,8,Microchip Tech,Extended,1.8V ~ 5.5V SPI 64Kb (8K x 8) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809081523_Microchip-Tech-AT25640B-SSHL-T_C111547.pdf,1-9:0.847244094,10-29:0.707086614,30-99:0.606299213,100-499:0.522834646,500-999:0.507086614,1000-1999:0.500787402,2000-3999:0.496062992,4000-:0.491338583,374,
C111676,Memory,NOR FLASH,MX25L6406EM2I-12G,SOIC-8,8,MXIC(Macronix),Extended,64Mb (8M x 8) SPI FLASH Non-Volatile SOIC-8_208mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1809300924_MXIC-Macronix-MX25L6406EM2I-12G_C111676.pdf,500-:0.601574803,30-99:0.648818898,1-9:0.856692913,100-499:0.615748031,10-29:0.680314961,0,
C111706,Memory,EEPROM,BR93L46F-WE2,SOP-8_3.9x4.9x1.27P,8,ROHM Semicon,Extended,1.8V ~ 5.5V SPI 1Kb (64 x 16) SOP-8 EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1810241131_ROHM-Semicon-BR93L46F-WE2_C111706.pdf,1-9:0.331338583,10-29:0.274173228,30-99:0.232913386,100-499:0.198740157,500-999:0.192913386,1000-1999:0.190078740,2000-3999:0.187874016,4000-:0.186456693,23,
C111883,Memory,EEPROM,M93C86-WMN6TP,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Extended,2.5V ~ 5.5V SPI 16Kb (2K x 8, 1K x 16) SOIC-8_150mil EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809051913_STMicroelectronics-M93C86-WMN6TP_C111883.pdf,500-999:0.155433071,4000-:0.150393701,10-29:0.219370079,100-499:0.159968504,1000-1999:0.153070866,1-9:0.264251969,30-99:0.186771654,2000-3999:0.151496063,0,
C112145,Memory,FRAM,MB85RC64VPNF-G-JNERE1,SOIC-8,8,FUJITSU,Extended,3V ~ 5.5V I2C 64Kb (8K x 8) SOIC-8_150mil FRAM ROHS,https://datasheet.lcsc.com/lcsc/1809172037_FUJITSU-MB85RC64VPNF-G-JNERE1_C112145.pdf,500-:0.781102362,30-99:0.840944882,1-9:1.111811024,100-499:0.798425197,10-29:0.883464567,0,
C112199,Memory,NOR FLASH,MX25R3235FM1IH0,SOIC-8_3.9x4.9x1.27P,8,MXIC(Macronix),Extended,32Mb (4M x 8) SPI FLASH Non-Volatile SOIC-8_150mil NOR FLASH ROHS,https://datasheet.lcsc.com/lcsc/1808291851_MXIC-Macronix-MX25R3235FM1IH0_C112199.pdf,1-9:3.477165354,10-29:2.864566929,30-99:2.418897638,100-499:2.051968504,500-999:1.990551181,1000-:1.959055118,0,
C112425,Memory,NAND FLASH,S34ML02G100TFI000,TSOP-48_12.0x18.4x0.5P,48,Cypress Semicon,Extended,Non-Volatile Parallel 2Gb (256M x 8) FLASH TSOP-48 NAND FLASH ROHS,https://datasheet.lcsc.com/lcsc/1804241926_Cypress-Semicon-S34ML02G100TFI000_C112425.pdf,1-9:5.450393701,10-29:4.499212598,30-99:3.809448819,100-499:3.239370079,500-999:3.143307087,1000-1999:3.094488189,2000-3999:3.059842520,4000-:3.034645669,50,
C112954,Memory,EEPROM,AT24C16C-XHM-T,TSSOP-8_3.0x4.4x0.65P,8,Microchip Tech,Extended,1.7V ~ 5.5V I2C 16Kb (2K x 8) TSSOP-8 EEPROM ROHS,https://datasheet.lcsc.com/lcsc/1809192050_Microchip-Tech-AT24C16C-XHM-T_C112954.pdf,1-9:1.516535433,10-29:1.233070866,30-99:1.028346457,100-499:0.858267717,500-999:0.829921260,1000-1999:0.815748031,2000-3999:0.804724409,4000-:0.796850394,2925,
C11313,Memory,SRAM,IS61WV12816DBLL-10TLI,TSOP-44_10.2x18.4x0.8P,44,ISSI(Integrated Silicon Solution),Extended,2.4V ~ 3.6V Volatile Parallel 2Mb (128K x 16) TSOPII-44 SRAM ROHS,https://datasheet.lcsc.com/lcsc/1804240210_ISSI-Integrated-Silicon-Solution-IS61WV12816DBLL-10TLI_C11313.pdf,102-103:6.600000000,10-29:6.908661417,100-101:6.600000000,1-9:7.694488189,30-99:6.785826772,104-:6.600000000,0,
