C359962,Development Boards & Tools,Raspberry Pi,OV2640 Camera Board,-,18,Waveshare,Extended,- Raspberry Pi ROHS,https://datasheet.lcsc.com/lcsc/1912111437_Waveshare-OV2640-Camera-Board_C359962.pdf,1-9:9.327559055,10-29:9.062992126,30-99:9.062992126,100-499:9.062992126,500-999:9.062992126,1000-:9.062992126,0,
C430881,Development Boards & Tools,Development Boards & Kits,EV620,SMD,14,POWERBUS,Extended,- Development Boards & Kits ROHS,https://datasheet.lcsc.com/lcsc/1912111437_POWERBUS-EV620_C430881.pdf,10-29:6.792125984,100-499:6.792125984,1000-:6.792125984,500-999:6.792125984,1-9:6.957480315,30-99:6.792125984,201,
C879203,Development Boards & Tools,Development Boards & Kits,SU-03T,-,18,MACHINE INTELLIGENCE,Extended,- Development Boards & Kits ROHS,https://datasheet.lcsc.com/lcsc/2010291008_MACHINE-INTELLIGENCE-SU-03T_C879203.pdf,10-29:2.275590551,4000-:1.488188976,500-999:1.544881890,2000-3999:1.500787402,1-9:2.788976378,30-99:1.903937008,100-499:1.598425197,1000-1999:1.519685039,8,
C962130,Development Boards & Tools,Emulator/Programmer,ACA-SPI-006-K01,SMT,16,LOTES,Extended,SMT Emulator/Programmer ROHS,https://datasheet.lcsc.com/lcsc/2012020336_LOTES-ACA-SPI-006-K01_C962130.pdf,1-9:1.737007874,10-29:1.422047244,30-99:1.193700787,100-499:1.006299213,500-999:0.973228346,1000-1999:0.957480315,2000-3999:0.946456693,4000-:0.938582677,218,
