C2844281,Battery Products,Battery Holders, Clips & Contacts,BQ7695203PFBR,TQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,48,Texas Instruments,Extended,High Accuracy Battery Monitor and Protector,https://www.ti.com/lit/ds/symlink/bq76952.pdf?ts=1625121813261&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FBQ76952,1-999:0.000629921,1000-:0.000157480,0,
C2848307,Battery Products,Battery Holders, Clips & Contacts,CN3083,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,9,Shanghai Consonance Electronics Incorporated,Extended,Lithium Ion Battery Charger,file:///C:/Users/dengyanglin/Downloads/datasheet%20(1).pdf,1-999:0.000629921,1000-:0.000157480,0,
C2858415,Battery Products,Battery Holders, Clips & Contacts,BQ24210DQCT,WSON-10_L3.0-W2.0-P0.50-EP,11,Texas Instruments,Extended,Bq24210 800-mA, Single-Input, Single-Cell Li-Ion Battery Solar Charger,https://www.ti.com/lit/gpn/BQ24210,1-999:0.000629921,1000-:0.000157480,0,
C70380,Battery Products,Batteries,CR1220 12-4*6,Through Hole,2,Q&J,Extended,Plugin Batteries RoHS,https://datasheet.lcsc.com/szlcsc/1912111436_Q-J-CR1220-12-4-6_C70380.pdf,1-9:0.306141732,10-29:0.267716535,30-99:0.240000000,100-499:0.217007874,500-999:0.213070866,1000-1999:0.211181102,2000-3999:0.209763780,4000-:0.208818898,2900,
