C10006,Clock and Timing,Real-time Clocks (RTC),RS5C372A-E2-F,SSOP-8_3.5x4.4x0.65P,8,Ricoh Elec Devices,Extended,HH:MM:SS (12/24 hr) YY-MM-DD I2C, 2-Wire Serial Clock/Calendar SSOP-8 Real-time Clocks (RTC) ROHS,https://datasheet.lcsc.com/lcsc/1808281011_Ricoh-Elec-Devices-RS5C372A-E2-F_C10006.pdf,1-9:1.948031496,10-29:1.902362205,30-99:1.870866142,100-499:1.840944882,500-:1.840944882,0,
C1018166,Clock and Timing,Clock Buffers, Drivers,9DML4493ANLGI,VFQFPN-32,33,RENESAS,Extended,VFQFPN-32(5x5) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105050735_RENESAS-9DML4493ANLGI_C1018166.pdf,1000-:3.344881890,200-499:3.530708661,30-199:9.121259843,1-9:9.121259843,500-999:3.406299213,10-29:9.121259843,0,
C1018167,Clock and Timing,Clock Buffers, Drivers,9FGL6241AP302NDGI,WQFN-28,29,RENESAS,Extended,VFQFPN-28(4x4) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104251105_RENESAS-9FGL6241AP302NDGI_C1018167.pdf,1000-:2.398425197,200-499:2.530708661,30-199:6.540157480,1-9:6.540157480,500-999:2.442519685,10-29:6.540157480,0,
C1018168,Clock and Timing,Clock Generators / Frequency Synthesizers / PLL,841S01CGLF,TSSOP-16,16,RENESAS,Extended,TSSOP-16 Clock Generators / Frequency Synthesizers / PLL ROHS,https://datasheet.lcsc.com/lcsc/2105050735_RENESAS-841S01CGLF_C1018168.pdf,1000-:6.357480315,200-499:6.710236220,30-199:17.337007874,1-9:17.337007874,500-999:6.474015748,10-29:17.337007874,0,
C1018172,Clock and Timing,Clock Buffers, Drivers,5PB1104CMT1,WDFN-8,8,RENESAS,Extended,DFN-8(2x2) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105011907_RENESAS-5PB1104CMT1_C1018172.pdf,1000-:1.996850394,200-499:2.107086614,30-199:5.444094488,1-9:5.444094488,500-999:2.033070866,10-29:5.444094488,0,
C1018173,Clock and Timing,Clock Buffers, Drivers,5PB1108PGGK,TSSOP-16,16,RENESAS,Extended,TSSOP-16 Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105011907_RENESAS-5PB1108PGGK_C1018173.pdf,1000-:1.996850394,200-499:2.107086614,30-199:5.444094488,1-9:5.444094488,500-999:2.033070866,10-29:5.444094488,0,
C1018174,Clock and Timing,Clock Buffers, Drivers,5P83908PGGK,TSSOP-20,20,RENESAS,Extended,TSSOP-20 Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2201131700_RENESAS-5P83908PGGK_C1018174.pdf,1000-:1.801574803,200-499:1.902362205,30-199:4.913385827,1-9:4.913385827,500-999:1.834645669,10-29:4.913385827,0,
C1018175,Clock and Timing,Clock Buffers, Drivers,5PB1110NDG2,QFN-20,21,RENESAS,Extended,QFN-20(3x3) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105011907_RENESAS-5PB1110NDG2_C1018175.pdf,1000-:2.152755906,200-499:2.270866142,30-199:5.867716535,1-9:5.867716535,500-999:2.192125984,10-29:5.867716535,0,
C1018176,Clock and Timing,Clock Buffers, Drivers,74FCT38074SDCGI,SOIC-8,8,RENESAS,Extended,SOIC-8 Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2104291136_RENESAS-74FCT38074SDCGI_C1018176.pdf,1000-:1.277165354,200-499:1.348031496,30-199:3.480314961,1-9:3.480314961,500-999:1.300787402,10-29:3.480314961,0,
C1018177,Clock and Timing,Clock Buffers, Drivers,5PB1110NDGK,QFN-20,21,RENESAS,Extended,QFN-20(3x3) Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2105011907_RENESAS-5PB1110NDGK_C1018177.pdf,1000-:1.943307087,200-499:2.050393701,30-199:5.296062992,1-9:5.296062992,500-999:1.977952756,10-29:5.296062992,0,
C1018178,Clock and Timing,Clock Buffers, Drivers,74FCT38075SDCGI,SOIC-8,8,RENESAS,Extended,SOIC-8 Clock Buffers, Drivers ROHS,https://datasheet.lcsc.com/lcsc/2107280540_RENESAS-74FCT38075SDCGI_C1018178.pdf,1000-:1.277165354,200-499:1.348031496,30-199:3.480314961,1-9:3.480314961,500-999:1.300787402,10-29:3.480314961,0,
