C1122355,Audio Products/Micromotors,Buzzers,KXG1205C,BUZ-TH,2,KINGSTATE,Extended,Plugin Buzzers ROHS,https://datasheet.lcsc.com/lcsc/2103251705_KINGSTATE-KXG1205C_C1122355.pdf,4000-:0.415748031,500-999:0.431496063,30-99:0.529133858,2000-3999:0.420472441,1-9:0.770078740,10-29:0.629921260,100-499:0.445669291,1000-1999:0.425196850,2,
C1122357,Audio Products/Micromotors,Buzzers,KXG0903C3,BUZ-TH,2,KINGSTATE,Extended,Plugin Buzzers ROHS,https://datasheet.lcsc.com/lcsc/2201131730_KINGSTATE-KXG0903C3_C1122357.pdf,1-9:1.184251969,30-99:0.807874016,1000-1999:0.644094488,10-29:0.966929134,100-499:0.677165354,4000-:0.629921260,500-999:0.655118110,2000-3999:0.636220472,46,
C1122365,Audio Products/Micromotors,Buzzers,KPEG164,BUZ-TH,2,KINGSTATE,Extended,7.6mm Externally Driven 13.7mm 80dB@10cm 20V -40⊥~+85⊥ 10mA Plugin Buzzers ROHS,https://datasheet.lcsc.com/lcsc/2104142233_KINGSTATE-KPEG164_C1122365.pdf,4000-:0.607874016,10-29:0.910236220,100-499:0.650393701,1000-1999:0.620472441,500-999:0.629921260,1-9:1.107086614,30-99:0.768503937,2000-3999:0.612598425,0,
C113159,Audio Products/Micromotors,Buzzers,PKLCS1212E4001-R1,BUZ-SMD,2,Murata Electronics,Extended,12mm 3mm Externally Driven 12mm 84dB@1.5V,10cm -12.5V~12.5V Externally Driven 1.5V 4000Hz SMD Buzzers ROHS,https://datasheet.lcsc.com/lcsc/1808132343_Murata-Electronics-PKLCS1212E4001-R1_C113159.pdf,1-9:0.798425197,10-29:0.659842520,30-99:0.559055118,100-499:0.477165354,500-999:0.462992126,1000-1999:0.455118110,2000-3999:0.450393701,4000-:0.447244094,0,
C115184,Audio Products/Micromotors,Buzzers,HND-1407B,BUZ-TH,2,Jiangsu Huaneng Elec,Extended,7.3mm 14.1mm Active (driven circuit included) 85dB@12V,10cm 3V~16V Externally Driven 12V 4500Hz - Buzzers ROHS, ,4000-:0.324409449,10-29:0.459842520,100-499:0.343307087,1-9:0.548031496,30-99:0.396850394,1000-1999:0.330708661,500-999:0.335433071,2000-3999:0.327559055,775,
C122600,Audio Products/Micromotors,Buzzers,HNB09A12,BUZ-TH_BD9.0-P5.00-D0.6-FD,2,Jiangsu Huaneng Elec,Extended,5.7mm 9mm Active (driven circuit included) 85dB@12V,10cm Magnetic 8V~16V 12V 3000Hz Plugin Buzzers ROHS,https://datasheet.lcsc.com/lcsc/1811141144_Jiangsu-Huaneng-Elec-HNB09A12_C122600.pdf,16-19:0.173228346,1-9:0.225196850,30-99:0.162204724,20-28:0.173228346,29-29:0.173228346,14-15:0.173228346,10-13:0.173228346,100-:0.144881890,1495,
C126347,Audio Products/Micromotors,Buzzers,HMB1275-03B,12X7.5mm,2,Jiangsu Huaneng Elec,Extended,7.7mm 12mm Active (driven circuit included) 85dB@3V,10cm 2V~5V Magnetic 3V 2300Hz - Buzzers ROHS, ,1-9:0.275905512,10-29:0.229921260,30-99:0.196535433,100-499:0.169086614,500-999:0.164393701,1000-1999:0.162078740,2000-3999:0.160362205,4000-:0.159212598,4527,
C128017,Audio Products/Micromotors,Buzzers,HNR-1407A,BUZ-TH,2,Jiangsu Huaneng Elec,Extended,7.3mm 14.1mm Externally Driven 80dB@12V,10cm 1V~30V Externally Driven 12V 4000Hz Plugin,P=7.62mm Buzzers ROHS,https://datasheet.lcsc.com/lcsc/1811151639_Jiangsu-Huaneng-Elec-HNR-1407A_C128017.pdf,1-9:0.244881890,10-29:0.208346457,30-99:0.181889764,100-499:0.160078740,500-999:0.156377953,1000-1999:0.154488189,2000-3999:0.153070866,4000-:0.152283465,758,
C129209,Audio Products/Micromotors,Buzzers,HND-2316,BUZ-TH_BD23.0-P15.00-D0.8-FD,2,Jiangsu Huaneng Elec,Extended,16.5mm 23mm Active (driven circuit included) 90dB@12V,10cm Externally Driven 3V~24V 12V 4500Hz Plugin Buzzers ROHS,https://datasheet.lcsc.com/lcsc/1809281511_Jiangsu-Huaneng-Elec-HND-2316_C129209.pdf,1-9:0.618897638,10-29:0.524409449,30-99:0.455118110,100-499:0.400000000,500-999:0.388976378,1000-1999:0.384251969,2000-3999:0.381102362,4000-:0.379527559,238,
C129210,Audio Products/Micromotors,Buzzers,HMB1206-12,12X6.5mm,2,Jiangsu Huaneng Elec,Extended,6.7mm 12mm Active (driven circuit included) 85dB@12V,10cm Magnetic 8V~16V 12V 2300Hz Plugin,P=7.6mm Buzzers ROHS,https://datasheet.lcsc.com/lcsc/1809281511_Jiangsu-Huaneng-Elec-HMB1206-12_C129210.pdf,1-9:0.294488189,10-29:0.244094488,30-99:0.207559055,100-499:0.177480315,500-999:0.172251969,1000-1999:0.169716535,2000-3999:0.167826772,4000-:0.166566929,2896,
C129400,Audio Products/Micromotors,Buzzers,HNR-1707,17X7mm,2,Jiangsu Huaneng Elec,Extended,8.3mm Externally Driven 17mm 80dB@3V,10cm 1V~30V Externally Driven 3V 4000Hz Plugin,P=10mm Buzzers ROHS,https://datasheet.lcsc.com/lcsc/1811141122_Jiangsu-Huaneng-Elec-HNR-1707_C129400.pdf,1-9:0.238267717,10-29:0.197322835,30-99:0.167653543,100-499:0.143149606,500-999:0.139055118,1000-1999:0.137007874,2000-3999:0.135433071,4000-:0.134330709,136,
C130133,Audio Products/Micromotors,Buzzers,HMB1275-24B,BUZ-TH,2,Jiangsu Huaneng Elec,Extended,Plugin Buzzers ROHS,https://datasheet.lcsc.com/lcsc/2103191706_Jiangsu-Huaneng-Elec-HMB1275-24B_C130133.pdf,1-9:0.282362205,10-29:0.233858268,30-99:0.198582677,100-499:0.169622047,500-999:0.164677165,1000-1999:0.162236220,2000-3999:0.160409449,4000-:0.159196850,0,
C130134,Audio Products/Micromotors,Buzzers,HNR-1704A,BUZ-TH,2,Jiangsu Huaneng Elec,Extended,Plugin Buzzers ROHS,https://datasheet.lcsc.com/lcsc/2102050933_Jiangsu-Huaneng-Elec-HNR-1704A_C130134.pdf,10-29:0.182204724,100-499:0.132125984,1000-1999:0.126456693,4000-:0.124094488,500-999:0.128346457,1-9:0.220000000,30-99:0.154803150,2000-3999:0.125039370,504,
