C100068,Amplifiers,Operational Amplifier,LM321G-AE5-R,SOT-23-5,5,UTC(Unisonic Tech),Extended,0.4 V/us 1 1MHz 3V ~ 32V General Purpose SOT-23-5 Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1810231223_UTC-Unisonic-Tech-LM321G-AE5-R_C100068.pdf,5-45:0.108188976,2500-4995:0.068503937,500-2495:0.070078740,50-145:0.091811024,5000-:0.067559055,150-495:0.079842520,55,
C10020,Amplifiers,Comparators,LMV7219M5/NOPB,SOT-23-5,5,Texas Instruments,Extended,2.7V ~ 5V 20ns Push-Pull, Rail-to-Rail 1.8mA 1 SOT-23-5 Comparators ROHS,https://datasheet.lcsc.com/lcsc/1811141238_Texas-Instruments-LMV7219M5-NOPB_C10020.pdf,1-9:3.231496063,30-99:2.762204724,2000-3999:2.587401575,4000-:2.566929134,500-999:2.656692913,10-29:2.834645669,100-499:2.688188976,1000-1999:2.615748031,3,
C10067,Amplifiers,Audio Power OpAmps,TDA7265,Multiwatt11V,11,STMicroelectronics,Extended,25W x 2 @ 8¦¸ ¡À5V ~ 25V 2-Channel (Stereo) Class AB Multiwatt11V Audio Power OpAmps ROHS,https://datasheet.lcsc.com/lcsc/1809201810_STMicroelectronics-TDA7265_C10067.pdf,1-9:1.514960630,10-29:1.259842520,30-99:1.074015748,100-499:0.922834646,500-999:0.896062992,1000-1999:0.883464567,2000-3999:0.874015748,4000-:0.867716535,0,
C10068,Amplifiers,Audio Power OpAmps,TDA7294V,Multiwatt15V,15,STMicroelectronics,Extended,100W x 1 @ 8¦¸ ¡À10V ~ 40V 1-Channel (Mono) Class AB Multiwatt15V Audio Power OpAmps ROHS,https://datasheet.lcsc.com/lcsc/1811011614_STMicroelectronics-TDA7294V_C10068.pdf,1-9:4.469291339,10-29:3.595275591,30-99:2.962204724,100-499:2.439370079,500-999:2.349606299,1000-1999:2.305511811,2000-3999:2.272440945,4000-:2.250393701,0,
C1012868,Amplifiers,Special Purpose Amplifiers,LTC6561HUF#WPBF,QFN-24,25,Analog Devices,Extended,QFN-24(4x4) Special Purpose Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2201131430_Analog-Devices-LTC6561HUF-WPBF_C1012868.pdf,1000-:8.565354331,200-499:9.040944882,30-199:23.359055118,1-9:23.359055118,500-999:8.722834646,10-29:23.359055118,0,
C1012869,Amplifiers,Special Purpose Amplifiers,LTC6560HUD#WPBF,TQFN-16,17,Analog Devices,Extended,QFN-16(3x3) Special Purpose Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2201131430_Analog-Devices-LTC6560HUD-WPBF_C1012869.pdf,1000-:2.829921260,200-499:2.987401575,30-199:7.718110236,1-9:7.718110236,500-999:2.881889764,10-29:7.718110236,0,
C1015802,Amplifiers,Operational Amplifier,ISL59311IRZ,QFN-32,33,RENESAS,Extended,QFN-32_EP(5x6) Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/2107280440_RENESAS-ISL59311IRZ_C1015802.pdf,1000-:3.190551181,200-499:3.366929134,30-199:8.697637795,1-9:8.697637795,500-999:3.248818898,10-29:8.697637795,0,
C1015896,Amplifiers,Special Purpose Amplifiers,MAX40662ATE/VY+,QFN-16,17,Maxim Integrated,Extended,TQFN-16(4x4) Special Purpose Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/2201131630_Maxim-Integrated-MAX40662ATE-VY-_C1015896.pdf,1000-:7.244094488,200-499:7.645669291,30-199:19.754330709,1-9:19.754330709,500-999:7.376377953,10-29:19.754330709,0,
C1016544,Amplifiers,Operational Amplifier,LTC6227IDD#PBF,TDFN-10,11,Analog Devices,Extended,DFN-10(3x3) Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/2201131700_Analog-Devices-LTC6227IDD-PBF_C1016544.pdf,1000-:1.941732283,200-499:2.048818898,30-199:5.294488189,1-9:5.294488189,500-999:1.977952756,10-29:5.294488189,0,
C1019772,Amplifiers,Instrumentation OpAmps,LTC6373HDFM#PBF,DFN-12,13,Analog Devices,Extended,DFN-12 Instrumentation OpAmps ROHS, ,1000-:4.480314961,200-499:4.729133858,30-199:12.218897638,1-9:12.218897638,500-999:4.562204724,10-29:12.218897638,0,
C1019773,Amplifiers,Instrumentation OpAmps,LTC6373IDFM#PBF,DFN-12,13,Analog Devices,Extended,DFN-12 Instrumentation OpAmps ROHS, ,1000-:3.831496063,200-499:4.044094488,30-199:10.447244094,1-9:10.447244094,500-999:3.900787402,10-29:10.447244094,0,
C102602,Amplifiers,Operational Amplifier,ISL28213FUZ-T7,MSOP-8,8,Intersil(Renesas Electronics),Extended,1 V/us 2 2MHz 1.8V ~ 5.5V, ¡À0.9V ~ 2.5V General Purpose MSOP-8 Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1809291622_Intersil-Renesas-Electronics-ISL28213FUZ-T7_C102602.pdf,10-29:1.196850394,1-9:1.445669291,30-99:1.017322835,100-499:0.869291339,500-999:0.842519685,1000-1999:0.829921260,2000-3999:0.822047244,4000-:0.815748031,0,
C102614,Amplifiers,Operational Amplifier,ISL28430FVZ-T7,TSSOP-14_4.4x5.0x0.65P,14,Intersil(Renesas Electronics),Extended,TSSOP-14 Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1810151521_Intersil-Renesas-Electronics-ISL28430FVZ-T7_C102614.pdf,1-9:2.307086614,30-99:1.614173228,2000-3999:1.299212598,4000-:1.288188976,500-999:1.333858268,10-29:1.905511811,100-499:1.374803150,1000-1999:1.313385827,0,
C105188,Amplifiers,Comparators,TLV3201AIDBVR,SOT-23-5,5,Texas Instruments,Extended,2.7V ~ 5.5V 50ns Push-Pull 40¦ÌA 1 SOT-23-5 Comparators ROHS,https://datasheet.lcsc.com/lcsc/1809251721_Texas-Instruments-TLV3201AIDBVR_C105188.pdf,1-9:0.588976378,10-29:0.425196850,30-99:0.395275591,100-499:0.365354331,500-999:0.352755906,1000-:0.346456693,2949,
C105240,Amplifiers,Current-Sensing Amplifiers,INA214AIDCKR,SOT-363,6,Texas Instruments,Extended,SC-70-6(SOT-363) Current-Sensing Amplifiers ROHS,https://datasheet.lcsc.com/lcsc/1809192326_Texas-Instruments-INA214AIDCKR_C105240.pdf,1-9:1.508661417,10-29:1.267716535,30-99:1.092913386,100-499:0.948031496,500-999:0.922834646,1000-:0.911811024,42,
C105242,Amplifiers,Operational Amplifier,LMV358IDGKR,VSSOP-8_3.0x3.0x0.65P,8,Texas Instruments,Extended,1 V/us 2 1MHz 2.7V ~ 5.5V, ¡À1.35V ~ 2.75V 210¦ÌA General Purpose VSSOP-8(3x3x0.65) Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1809051314_Texas-Instruments-LMV358IDGKR_C105242.pdf,1-9:2.127559055,10-29:1.713385827,30-99:1.414173228,100-499:1.166929134,500-999:1.124409449,1000-1999:1.103937008,2000-3999:1.088188976,4000-:1.077165354,4429,
C105410,Amplifiers,Operational Amplifier,LM2904WYDT,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Extended,0.6 V/us 2 1.1MHz 3V ~ 30V 700¦ÌA General Purpose SOIC-8_150mil Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1809172024_STMicroelectronics-LM2904WYDT_C105410.pdf,1-9:0.255275591,10-29:0.213543307,30-99:0.183307087,100-499:0.158330709,500-999:0.154015748,1000-1999:0.151968504,2000-3999:0.150393701,4000-:0.149291339,2030,
C105411,Amplifiers,Operational Amplifier,LM2904DT,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Extended,0.6 V/us 2 1.1MHz 3V ~ 32V, ¡À1.5V ~ 16V 700¦ÌA General Purpose SOIC-8_150mil Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1810161741_STMicroelectronics-LM2904DT_C105411.pdf,5-45:0.119212598,50-145:0.098582677,150-495:0.083622047,500-2495:0.071338583,2500-4995:0.069291339,5000-9995:0.068188976,10000-19995:0.067401575,20000-:0.066929134,112561,
C105469,Amplifiers,Operational Amplifier,LM2902DT,SOIC-14_3.9x8.7x1.27P,14,STMicroelectronics,Extended,0.4 V/us 4 1.3MHz 3V ~ 32V, ¡À1.5V ~ 16V 1.5mA General Purpose SOIC-14_150mil Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1811141746_STMicroelectronics-LM2902DT_C105469.pdf,1-9:0.144566929,10-29:0.117165354,30-99:0.097480315,100-499:0.081102362,1000-1999:0.077007874,500-999:0.078267717,2000-3999:0.075905512,4000-:0.075275591,15025,
C105497,Amplifiers,Comparators,LM397MF/NOPB,SOT-23-5,5,Texas Instruments,Extended,5V ~ 30V, ¡À2.5V ~ 15V 940us CMOS, Open-Collector, TTL 2mA 1 SOT-23-5 Comparators ROHS,https://datasheet.lcsc.com/lcsc/1809251733_Texas-Instruments-LM397MF-NOPB_C105497.pdf,1-9:0.992125984,10-29:0.803149606,30-99:0.666141732,100-499:0.554330709,500-999:0.535433071,1000-:0.525984252,4789,
C10637,Amplifiers,FET InputAmplifiers,LF247DT,SOIC-14_3.9x8.7x1.27P,14,STMicroelectronics,Extended,1.4mA 16 V/us 4MHz J-FET 8V ~ 36V, ¡À4V ~ 18V SOIC-14_150mil FET InputAmplifiers ROHS,https://datasheet.lcsc.com/lcsc/1809051224_STMicroelectronics-LF247DT_C10637.pdf,10-29:1.477165354,100-499:1.067716535,1000-:1.020472441,1-9:1.787401575,30-99:1.251968504,500-999:1.036220472,2490,
C106771,Amplifiers,Operational Amplifier,LMV721M5/NOPB,SOT-23-5,5,Texas Instruments,Extended,5.25 V/us 1 10MHz 2.2V ~ 5.5V, ¡À1.1V ~ 2.25V General Purpose SOT-23-5 Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1809251733_Texas-Instruments-LMV721M5-NOPB_C106771.pdf,10-29:1.497637795,100-499:1.155905512,1-9:1.535433071,30-99:1.176377953,500-:1.155905512,19,
C106874,Amplifiers,Operational Amplifier,TLV4314IPWR,TSSOP-14_4.4x5.0x0.65P,14,Texas Instruments,Extended,1.5 V/us 4 3MHz 1.8V ~ 5.5V, ¡À0.9V ~ 2.75V 150¦ÌA General Purpose TSSOP-14 Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1811151435_Texas-Instruments-TLV4314IPWR_C106874.pdf,1-9:2.913385827,10-29:2.423622047,30-99:2.067716535,100-499:1.773228346,500-999:1.724409449,1000-:1.699212598,103,
C106910,Amplifiers,Operational Amplifier,LM224G-S14-R,SOIC-14_3.9x8.7x1.27P,14,UTC(Unisonic Tech),Extended,4 3V ~ 30V 1.2mA General Purpose SOIC-14_150mil Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1809051320_UTC-Unisonic-Tech-LM224G-S14-R_C106910.pdf,1-9:0.202362205,500-999:0.117007874,100-499:0.120629921,10-29:0.167165354,1000-:0.115275591,30-99:0.141732283,422,
