C128972,Pushbutton Switches & Relays,Light Switches,K6-6270S-02,SW-TH,6,Korean Hroparts Elec,Extended,SPST-NO 50mA @ 12VDC Top Actuated SMD,P=2.54mm Light Switches RoHS,https://datasheet.lcsc.com/lcsc/1809212217_Korean-Hroparts-Elec-K6-6270S-02_C128972.pdf,2000-3999:0.434645669,4000-:0.431496063,1-9:0.697637795,10-29:0.524409449,30-99:0.492913386,100-499:0.461417323,500-999:0.447244094,1000-1999:0.439370079,0,
C128978,Pushbutton Switches & Relays,Tactile Switches,K6-1212A-04,SW-TH_K6-1212A-04,6,Korean Hroparts Elec,Extended,SPST-NO 50mA @ 12VDC Standard Top Actuated Through Hole Tactile Switches ROHS,https://datasheet.lcsc.com/lcsc/1809140819_Korean-Hroparts-Elec-K6-1212A-04_C128978.pdf,1-9:1.022047244,10-29:0.842519685,30-99:0.713385827,100-499:0.606299213,500-999:0.587401575,1000-1999:0.577952756,2000-3999:0.571653543,4000-:0.566929134,0,
C129022,Pushbutton Switches & Relays,DIP Switches,DA-03RP,SW-TH_6P-L9.0-W8.8-P2.54-LS2.5,6,Korean Hroparts Elec,Extended,2.54mm, Full 3 SPST Slide (Standard) Red Through Hole DIP Switches ROHS,https://datasheet.lcsc.com/lcsc/1810101831_Korean-Hroparts-Elec-DA-03RP_C129022.pdf,1-9:0.351968504,10-29:0.291496063,30-99:0.247559055,100-499:0.211496063,500-999:0.205354331,1000-1999:0.202204724,2000-3999:0.200000000,4000-:0.198425197,0,
C129025,Pushbutton Switches & Relays,DIP Switches,DA-06RP,SW-TH_DA-06,12,Korean Hroparts Elec,Extended,SPST 6 2.54mm, Full Slide (Standard) Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/szlcsc/1809211419_Korean-Hroparts-Elec-DA-06RP_C129025.pdf,500-999:0.278740157,4000-:0.269291339,10-29:0.400000000,100-499:0.286614173,1-9:0.485039370,30-99:0.338582677,1000-1999:0.274015748,2000-3999:0.270866142,0,
C129026,Pushbutton Switches & Relays,DIP Switches,DA-07RP,SW-TH_DA-07RP,14,Korean Hroparts Elec,Extended,SPST 7 2.54mm, Full Slide (Standard) Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/szlcsc/1811082120_Korean-Hroparts-Elec-DA-07RP_C129026.pdf,1-9:0.521259843,30-99:0.363779528,2000-3999:0.291338583,500-999:0.299212598,10-29:0.429921260,100-499:0.308661417,1000-1999:0.294488189,4000-:0.288188976,0,
C129029,Pushbutton Switches & Relays,DIP Switches,DA-10RP,SW-TH_DA-10RP,20,Korean Hroparts Elec,Extended,SPST 10 2.54mm, Full Slide (Standard) Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/szlcsc/1809211419_Korean-Hroparts-Elec-DA-10RP_C129029.pdf,4000-:0.384251969,1-9:0.688188976,30-99:0.481889764,1000-1999:0.392125984,2000-3999:0.387401575,500-999:0.398425197,10-29:0.568503937,100-499:0.409448819,0,
C129035,Pushbutton Switches & Relays,DIP Switches,DA-06BP,SW-TH,12,Korean Hroparts Elec,Extended,SPST 6 2.54mm, Full Slide (Standard) Blue Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/lcsc/1809211419_Korean-Hroparts-Elec-DA-06BP_C129035.pdf,30-99:0.341732283,2000-3999:0.275590551,4000-:0.274015748,500-999:0.283464567,1-9:0.489763780,10-29:0.404724409,100-499:0.291338583,1000-1999:0.278740157,0,
C129037,Pushbutton Switches & Relays,DIP Switches,DA-08BP,SW-TH,16,Korean Hroparts Elec,Extended,SPST 8 2.54mm, Full Slide (Standard) Blue Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/lcsc/1809211419_Korean-Hroparts-Elec-DA-08BP_C129037.pdf,10-29:0.458267717,100-499:0.329133858,500-999:0.319685039,2000-3999:0.311811024,4000-:0.308661417,1-9:0.555905512,30-99:0.387401575,1000-1999:0.314960630,0,
C129046,Pushbutton Switches & Relays,DIP Switches,DP-07RP,SW-TH,14,Korean Hroparts Elec,Extended,SPST 7 2.54mm, Full Piano Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/lcsc/1809211412_Korean-Hroparts-Elec-DP-07RP_C129046.pdf,4000-:0.288188976,500-999:0.299212598,1-9:0.521259843,10-29:0.429921260,100-499:0.308661417,1000-1999:0.294488189,30-99:0.363779528,2000-3999:0.291338583,0,
C129051,Pushbutton Switches & Relays,DIP Switches,DP-02BP,SW-TH_DP-02XP,4,Korean Hroparts Elec,Extended,2.54mm, Full 2 SPST Piano Blue Through Hole DIP Switches ROHS,https://datasheet.lcsc.com/lcsc/1809211125_Korean-Hroparts-Elec-DP-02BP_C129051.pdf,500-999:0.175433071,4000-:0.169511811,1-9:0.300629921,30-99:0.211496063,1000-1999:0.172740157,2000-3999:0.170803150,10-29:0.248976378,100-499:0.180629921,0,
C129055,Pushbutton Switches & Relays,DIP Switches,DP-07BP,SW-TH,14,Korean Hroparts Elec,Extended,SPST 7 2.54mm, Full Piano Blue Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/lcsc/1809211126_Korean-Hroparts-Elec-DP-07BP_C129055.pdf,1-9:0.491338583,10-29:0.400000000,30-99:0.333858268,500-999:0.269291339,2000-3999:0.261417323,100-499:0.278740157,1000-1999:0.264566929,4000-:0.259842520,0,
C129058,Pushbutton Switches & Relays,DIP Switches,DP-10BP,SW-TH_DP-10XP,20,Korean Hroparts Elec,Extended,2.54mm, Full 10 SPST Piano Blue Through Hole DIP Switches ROHS,https://datasheet.lcsc.com/lcsc/1809211126_Korean-Hroparts-Elec-DP-10BP_C129058.pdf,1-9:0.628346457,30-99:0.437795276,1000-1999:0.355905512,500-999:0.360629921,2000-3999:0.351181102,4000-:0.348031496,10-29:0.518110236,100-499:0.371653543,0,
C129063,Pushbutton Switches & Relays,DIP Switches,DS-07RP,SW-TH,14,Korean Hroparts Elec,Extended,SPST 7 2.54mm, Full Slide (Standard) Red Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/lcsc/1809211127_Korean-Hroparts-Elec-DS-07RP_C129063.pdf,4000-:0.218897638,500-999:0.226771654,10-29:0.325984252,100-499:0.234645669,1000-1999:0.223622047,1-9:0.395275591,30-99:0.275590551,2000-3999:0.220472441,0,
C129068,Pushbutton Switches & Relays,DIP Switches,DS-02BP,SW-TH,4,Korean Hroparts Elec,Extended,SPST 2 2.54mm, Full Slide (Standard) Blue Through Hole DIP Switches RoHS,https://datasheet.lcsc.com/lcsc/1809211127_Korean-Hroparts-Elec-DS-02BP_C129068.pdf,500-999:0.149763780,4000-:0.144724409,30-99:0.180629921,2000-3999:0.145826772,1-9:0.256692913,10-29:0.212598425,100-499:0.154173228,1000-1999:0.147401575,0,
C136694,Pushbutton Switches & Relays,Push Switches,K8-1385D-L1,13.1X8.5mm,12,Korean Hroparts Elec,Extended,LATCHING 14.05mm 100mA 400±80gf Through Hole 13.10mm x 8.50mm DPDT 13.1*8.5mm Push Switches ROHS,https://datasheet.lcsc.com/lcsc/1809211421_Korean-Hroparts-Elec-K8-1385D-L1_C136694.pdf,10-29:0.242834646,100-499:0.176220472,1-9:0.293228346,30-99:0.206299213,1000-1999:0.168535433,2000-3999:0.166645669,500-999:0.171070866,4000-:0.165385827,0,
