C268780,Fuses,PTC Resettable Fuses,BK30-700,FUSE-TH_L17.5-W3.1-P10.50-D0.8-S2.00,2,Brightking Elec (TAIWAN),Extended,30V 30m次 14A - Through Hole PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/1912111437_Brightking-Elec--TAIWAN-BK30-700_C268780.pdf,1-9:0.295275591,10-29:0.224251969,30-99:0.211338583,100-499:0.198267717,500-999:0.192440945,1000-1999:0.189606299,2000-3999:0.187559055,4000-:0.186141732,0,
C268803,Fuses,PTC Resettable Fuses,BK60-200DZ,FUSE-TH_L17.4-W3.1-P5.10-D1.2-S3.1,2,Brightking Elec (TAIWAN),Extended,60V 4A 14.5s 190m次 Through Hole PTC Resettable Fuses RoHS,https://datasheet.lcsc.com/szlcsc/1912111437_Brightking-Elec-TAIWAN-BK60-200DZ_C268803.pdf,1-9:0.311811024,10-29:0.249448819,30-99:0.238110236,100-499:0.226614173,500-999:0.221574803,1000-1999:0.219055118,2000-3999:0.217165354,4000-:0.215905512,0,
C311985,Fuses,Surface Mount Fuses,SCF500mA,FUSE-SMD,2,TLC Electronic,Extended,0.0824 900mV 50A/100A 500mA SMD Ceramic Fuse - Fast Blow SMD Surface Mount Fuses ROHS,https://datasheet.lcsc.com/lcsc/1912111437_TLC-Electronic-SCF500mA_C311985.pdf,5000-9990:0.043149606,40000-:0.041732283,100-290:0.061102362,1000-4990:0.044409449,10000-19990:0.042519685,10-90:0.073700787,300-990:0.051968504,20000-39990:0.042047244,0,
C3127,Fuses,Cartridge Fuses,5F.6300220000R1,FUSE-SMD,2,Xucheng Elec,Extended,250V 6.3A Glass Tube Fuse Fast Blow Tube,5.2x20mm Cartridge Fuses ROHS,https://datasheet.lcsc.com/lcsc/1807300914_Xucheng-Elec-5F.6300220000R1_C3127.pdf,10-90:0.062992126,100-290:0.052440945,300-990:0.044724409,1000-4990:0.038425197,5000-9990:0.037322835,10000-19990:0.036850394,20000-39990:0.036377953,40000-:0.036220472,0,
C506875,Fuses,PTC Resettable Fuses,TLC-0805PL400,FUSE-SMD,2,TLC Electronic,Extended,Polymeric 6V 26m次 9A 2s 0805 PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/2004021136_TLC-Electronic-TLC-0805PL400_C506875.pdf,50-145:0.106929134,500-2495:0.077795276,5000-9995:0.074488189,2500-4995:0.075590551,5-45:0.128976378,150-495:0.091023622,10000-19995:0.073543307,20000-:0.073070866,0,
C522974,Fuses,PTC Resettable Fuses,BK30-400-SZ,FUSE-TH_L14.5-W3.1-P5.10-D0.8-S2.30,2,Brightking Elec (TAIWAN),Extended,Polymeric 30V 60m次 8A 12.7s Through Hole PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/2006081827_Brightking-Elec--TAIWAN-BK30-400-SZ_C522974.pdf,1-9:0.195748031,10-29:0.148661417,30-99:0.140157480,100-499:0.131496063,500-999:0.127559055,1000-1999:0.125669291,2000-3999:0.124251969,4000-:0.123464567,0,
C55996,Fuses,PTC Resettable Fuses,SMD1812P300TF/16V,1812,2,RUILON(Shenzhen Ruilongyuan Elec),Extended,16V 5A 1812 PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/1811061528_RUILON-Shenzhen-Ruilongyuan-Elec-SMD1812P300TF-16V_C55996.pdf,50-145:0.101102362,20000-:0.063307087,2500-4995:0.065984252,10000-19995:0.063937008,5-45:0.125669291,150-495:0.083307087,500-2495:0.068503937,5000-9995:0.064724409,3212,
C723303,Fuses,Fuses with Leads (Through Hole),932-3.15A/250V,FUSE-TH,2,Better,Extended,Through Hole Fuses with Leads (Through Hole) RoHS,https://datasheet.lcsc.com/lcsc/2008251706_Better-932-3-15A-250V_C723303.pdf,5000-9990:0.030393701,10-90:0.046929134,300-990:0.033385827,10000-19990:0.029921260,20000-39990:0.029606299,100-290:0.035433071,1000-4990:0.031338583,40000-:0.029291339,0,
C89659,Fuses,PTC Resettable Fuses,MF-R005-0,FUSE-TH_L8.0-W3.0-P5.08-D0.8,2,BOURNS,Extended,60V 100mA Through Hole PTC Resettable Fuses ROHS,https://datasheet.lcsc.com/lcsc/1809301623_BOURNS-MF-R005-0_C89659.pdf,5-45:0.136220472,150-495:0.096850394,10000-19995:0.078897638,20000-:0.078267717,2500-4995:0.080787402,50-145:0.113385827,500-2495:0.083149606,5000-9995:0.079685039,0,
C95352,Fuses,Surface Mount Fuses,0443001.DR,FUSE-SMD,2,Littelfuse,Extended, ,https://datasheet.lcsc.com/lcsc/1912112237_Littelfuse-0443001-DR_C95352.pdf,1-9:1.108661417,10-29:0.924409449,30-99:0.790551181,100-499:0.680314961,500-999:0.661417323,1000-1999:0.651968504,2000-3999:0.645669291,4000-:0.640944882,1,
C99546,Fuses,Surface Mount Fuses,0438003.WR,FUSE-SMD,2,Littelfuse,Extended, ,https://datasheet.lcsc.com/lcsc/1806111027_Littelfuse-0438003-WR_C99546.pdf,10-90:0.082047244,100-290:0.072125984,300-990:0.065039370,1000-4990:0.059212598,5000-9990:0.058267717,10000-19990:0.057637795,20000-39990:0.057322835,40000-:0.057007874,0,
C99557,Fuses,Surface Mount Fuses,0467003.NR,FUSE-SMD,2,Littelfuse,Extended,0.2403 75.04mV 35A 3A Chip Fuse 17m次 Fast Blow 0603 Surface Mount Fuses ROHS,https://datasheet.lcsc.com/lcsc/1806131622_Littelfuse-0467003.NR_C99557.pdf,5-45:0.095433071,50-145:0.082204724,150-495:0.072598425,500-2495:0.064724409,2500-4995:0.063464567,5000-9995:0.062677165,10000-19995:0.062204724,20000-:0.061889764,0,
