C1526296,Solders / Accessories / Batteries,Pre-ordered Products,HTRC11001T/02EE,11,SO-14,14,NXP Semicon,Extended,SO-14 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2201180700_NXP-Semicon-HTRC11001T-02EE-11_C1526296.pdf,1-9:2.987401575,10-29:2.622047244,30-99:2.554330709,100-499:2.488188976,500-999:2.458267717,1000-:2.420472441,0,
C165480,Solders / Accessories / Batteries,Pre-ordered Products,BQ25892RTWR,WQFN-24,25,Texas Instruments,Extended,WQFN-24 Pre-ordered Products ROHS, ,1000-:2.256692913,200-499:2.374803150,30-199:5.952755906,1-9:5.952755906,500-999:2.296062992,10-29:5.952755906,0,
C1669658,Solders / Accessories / Batteries,Pre-ordered Products,MP122,HC-49U,2,CTS Electronic Components,Extended,HC-49/U Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2108011930_CTS-Electronic-Components-MP122_C1669658.pdf,1000-:0.163763780,200-499:0.172850394,30-199:0.446614173,1-9:0.446614173,500-999:0.166771654,10-29:0.446614173,0,
C1669688,Solders / Accessories / Batteries,Pre-ordered Products,MP200,HC-49U,2,CTS Electronic Components,Extended,HC-49/U Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2108011930_CTS-Electronic-Components-MP200_C1669688.pdf,200-499:0.172850394,30-199:0.446614173,1-9:0.446614173,500-999:0.166771654,1000-:0.163763780,10-29:0.446614173,0,
C1669814,Solders / Accessories / Batteries,Pre-ordered Products,HC-49/U-S7680000ABJB,SMT_11.5 mm*4.66 mm*3.5 mm,2,CITIZEN,Extended,HC-49/US Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2108011930_CITIZEN-HC-49-U-S7680000ABJB_C1669814.pdf,1-9:0.354803150,10-29:0.354803150,30-199:0.354803150,200-499:0.137322835,500-999:0.132440945,1000-:0.130078740,0,
C1669852,Solders / Accessories / Batteries,Pre-ordered Products,MP037,HC-49U,2,CTS Electronic Components,Extended,HC-49/U Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2108011930_CTS-Electronic-Components-MP037_C1669852.pdf,10-29:0.446614173,500-999:0.166771654,1000-:0.163763780,200-499:0.172850394,30-199:0.446614173,1-9:0.446614173,0,
C1669911,Solders / Accessories / Batteries,Pre-ordered Products,DSC6183CI2A-032K768,SMD-6,4,Microchip Tech,Extended,SMD-6 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2201200600_Microchip-Tech-DSC6183CI2A-032K768_C1669911.pdf,1-9:0.957480315,10-29:0.957480315,30-199:0.957480315,200-499:0.371653543,500-999:0.357480315,1000-:0.351181102,0,
C1670332,Solders / Accessories / Batteries,Pre-ordered Products,DSC1001DI5-025.0000,OSC-SMD,4,Microchip Tech,Extended,SMD-4 Pre-ordered Products ROHS, ,1000-:0.620472441,200-499:0.655118110,30-199:1.689763780,1-9:1.689763780,500-999:0.631496063,10-29:1.689763780,0,
C1670472,Solders / Accessories / Batteries,Pre-ordered Products,DSC1030BC1-008.0000,OSC-SMD,4,Microchip Tech,Extended,SMD-4 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2108011930_Microchip-Tech-DSC1030BC1-008-0000_C1670472.pdf,1000-:0.548031496,200-499:0.577952756,30-199:1.492913386,1-9:1.492913386,500-999:0.557480315,10-29:1.492913386,0,
C1670576,Solders / Accessories / Batteries,Pre-ordered Products,AST3TQ-T-16.384MHZ-50-C,SMD-4,4,Abracon LLC,Extended,SMD-4 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2201200630_Abracon-LLC-AST3TQ-T-16-384MHZ-50-C_C1670576.pdf,1-9:79.259842520,30-199:79.259842520,200-499:30.674015748,1000-:29.062992126,500-999:29.595275591,10-29:79.259842520,0,
C1670613,Solders / Accessories / Batteries,Pre-ordered Products,514CBB000112AAG,SMD-6,6,SILICON LABS,Extended,SMD-6 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2201200630_SILICON-LABS-514CBB000112AAG_C1670613.pdf,10-29:12.044094488,1-9:12.044094488,30-199:12.044094488,200-499:4.661417323,1000-:4.415748031,500-999:4.497637795,0,
C1670642,Solders / Accessories / Batteries,Pre-ordered Products,531BC125M000DG,SMD-6,6,SILICON LABS,Extended,SMD-6 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2201081230_SILICON-LABS-531BC125M000DG_C1670642.pdf,1-9:10.340157480,10-29:10.340157480,30-199:10.340157480,200-499:4.001574803,500-999:3.861417323,1000-:3.792125984,0,
C1670733,Solders / Accessories / Batteries,Pre-ordered Products,DSC1001CL5-010.0000,OSC-SMD,4,Microchip Tech,Extended,SMD-4 Pre-ordered Products ROHS, ,1000-:0.681889764,200-499:0.719685039,30-199:1.859842520,1-9:1.859842520,500-999:0.694488189,10-29:1.859842520,0,
C1670850,Solders / Accessories / Batteries,Pre-ordered Products,DSC1001CI2-033.3333,OSC-SMD,4,Microchip Tech,Extended,SMD-4 Pre-ordered Products ROHS, ,1000-:0.377952756,200-499:0.398425197,30-199:1.028346457,1-9:1.028346457,500-999:0.384251969,10-29:1.028346457,0,
C1670873,Solders / Accessories / Batteries,Pre-ordered Products,DSC1102CI5-025.0000,OSC-SMD,6,Microchip Tech,Extended,SMD-6 Pre-ordered Products ROHS, ,1000-:1.828346457,200-499:1.929133858,30-199:4.984251969,1-9:4.984251969,500-999:1.861417323,10-29:4.984251969,0,
C1671480,Solders / Accessories / Batteries,Pre-ordered Products,DSC6001ME2A-032.7680,VFLGA-4,4,Microchip Tech,Extended,VFLGA-4 Pre-ordered Products ROHS,https://datasheet.lcsc.com/lcsc/2201081430_Microchip-Tech-DSC6001ME2A-032-7680_C1671480.pdf,1000-:0.366929134,200-499:0.387401575,30-199:1.000000000,1-9:1.000000000,500-999:0.373228346,10-29:1.000000000,0,
C1671700,Solders / Accessories / Batteries,Pre-ordered Products,DSC1001CI2-108.0000,OSC-SMD,4,Microchip Tech,Extended,SMD-4 Pre-ordered Products ROHS, ,1000-:0.439370079,200-499:0.464566929,30-199:1.196850394,1-9:1.196850394,500-999:0.447244094,10-29:1.196850394,0,
C1671746,Solders / Accessories / Batteries,Pre-ordered Products,DSC1121AI1-125.0000,VDFN-6,7,Microchip Tech,Extended,SMD-6 Pre-ordered Products ROHS, ,1000-:0.470866142,200-499:0.496062992,30-199:1.281889764,1-9:1.281889764,500-999:0.478740157,10-29:1.281889764,0,
C1674159,Solders / Accessories / Batteries,Pre-ordered Products,DSC1001DI5-013.3333,OSC-SMD,4,Microchip Tech,Extended,SMD-4 Pre-ordered Products ROHS, ,1000-:0.620472441,200-499:0.655118110,30-199:1.689763780,1-9:1.689763780,500-999:0.631496063,10-29:1.689763780,0,
